country_iso3166_alpha3,gtap_country_number,gtap_country_code,gtap_country_group,gtap_country_name,gtap10_country_number,gtap10_country_code,gtap10_country_group,gtap10_country_name,env_ssp_country_code,env_ssp_country_name
"BHR",102,"BHR","Bahrain","Bahrain",98,"BHR","Bahrain","Bahrain","BHR","Bahrain, The Kingdom of"
"BHS",55,"XCB","Rest of Caribbean","Bahamas",53,"XCB","Rest of Caribbean","Bahamas","BHS","Bahamas, The Commonwealth of the"
"BIH",93,"XER","Rest of Europe","Bosnia and Herzegovina",90,"XER","Rest of Europe","Bosnia and Herzegovina","BIH","Bosnia and Herzegovina"
"BLR",89,"BLR","Belarus","Belarus",86,"BLR","Belarus","Belarus","BLR","Belarus, The Republic of"
"BLZ",49,"XCA","Rest of Central America","Belize",48,"XCA","Rest of Central America","Belize","BLZ","Belize"
"BMU",31,"XNA","Rest of North America","Bermuda",30,"XNA","Rest of North America","Bermuda","BMU","Bermuda"
"BOL",33,"BOL","Bolivia","Bolivia",32,"BOL","Bolivia","Bolivia","BOL","Bolivia, The Plurinational State of"
"BRA",34,"BRA","Brazil","Brazil",33,"BRA","Brazil","Brazil","BRA","Brazil, The Federative of Brazil"
"BRB",55,"XCB","Rest of Caribbean","Barbados",53,"XCB","Rest of Caribbean","Barbados","BRB","Barbados"
"BRN",11,"BRN","Brunei Darussalam","Brunei Darussalam",11,"BRN","Brunei Darussalam","Brunei Darussalam","BRN","Brunei Darussalam"
"BTN",27,"XSA","Rest of South Asia","Bhutan",26,"XSA","Rest of South Asia","Bhutan","BTN","Bhutan, The Kingdom of"
"BWA",155,"BWA","Botswana","Botswana",137,"BWA","Botswana","Botswana","BWA","Botswana, The Republic of"
"CAF",134,"CAF","Central African Republic","Central African Republic",123,"XCF","Rest of Central Africa","Central African Republic","CAF","Central African Republic, The"
"CAN",28,"CAN","Canada","Canada",27,"CAN","Canada","Canada","CAN","Canada"
